ID	ATR1	ATR2
ID112	4.440335	-5.209912
ID113	-8.806893	-4.584341
ID114	-2.144806	-5.129366
ID115	1.721021	-5.468197
ID116	5.571804	-5.198848
ID117	-0.783410	-4.025032
ID118	-6.201609	-4.472880
ID119	-0.692141	-3.970907
ID120	4.417453	-5.177886
ID121	-14.207480	-4.741684
ID122	-17.876908	-5.845773
ID123	7.249356	-5.617952
ID124	-6.834202	-4.530098
ID125	-19.697263	-5.986254
ID126	-1.752515	-4.780523
ID127	-18.507256	-5.128296
ID128	9.534447	-5.332258
ID129	-12.833183	-4.628735
ID130	-1.122909	-5.086093
ID131	-10.251389	-4.217502
ID132	-15.318551	-5.995584
ID133	-6.204964	-5.032097
ID134	-10.357668	-4.094209
ID135	1.373052	-5.463745
ID136	-21.407815	-5.086068
ID137	8.432682	-5.090682
ID138	7.123454	-5.028449
ID139	-8.594333	-5.163781
ID140	-3.214842	-5.242999
ID141	3.444024	-4.399611
ID142	1.970365	-5.519912
ID143	1.492952	-5.170461
ID144	-5.264363	-5.939288
ID145	3.140010	-4.882389
ID146	6.788022	-4.752341
ID147	-12.731845	-4.846890
ID148	6.648762	-5.240657
ID149	-5.990649	-6.109035
ID150	-15.178934	-4.664018
ID151	21.654037	-5.409087
ID152	6.709311	-4.146434
ID153	6.233072	-5.246564
ID154	7.070309	-5.486546
ID155	2.408396	-5.386623
ID156	-19.545991	-5.018796
ID157	-5.559761	-5.170269
ID158	0.807327	-4.837148
ID159	-9.923501	-4.922822
ID160	-15.951126	-4.514221
ID161	-20.933462	-5.571063
ID162	-13.777846	-5.115672
ID163	-1.944773	-4.784352
ID164	7.267366	-4.875455
ID165	-19.786899	-5.200690
ID166	2.264503	-3.778656
ID167	-5.180544	-4.911726
ID168	-3.511968	-4.454172
ID169	4.290316	-4.917807
ID170	-3.898466	-4.515093
ID171	-26.829878	-4.220387
ID172	7.343553	-4.728784
ID173	2.648092	-4.557998
ID174	12.657191	-3.818025
ID175	0.545163	-4.569071
ID176	-2.716422	-5.678977
ID177	2.885790	-4.660658
ID178	-12.020894	-5.140761
ID179	-26.978435	-5.213773
ID180	4.080000	-5.157155
ID181	-1.000985	-3.835306
ID182	13.718947	-5.666753
ID183	-10.298283	-4.380093
ID184	0.044841	-5.004956
ID185	-9.141925	-4.844315
ID186	11.570502	-5.522062
ID187	-1.340055	-4.185088
ID188	-19.791964	-5.281273
ID189	-4.316909	-4.821110
ID190	7.813675	-5.154028
ID191	-6.645334	-5.126233
ID192	-5.611192	-4.666484
ID193	2.227576	-4.799773
ID194	-1.143331	-5.037491
ID195	-3.097009	-5.382906
ID196	-29.127355	-5.897556
ID197	-5.367686	-5.024175
ID198	11.950906	-5.260246
ID199	-7.157792	-4.715517
ID200	8.490103	-5.453757
